,product_brand,product_image_links,product_name
41,3C Farms,https://ddd33q3967xhi.cloudfront.net/qHIYdIrrMtTN_fm3Y3vQx9YiOUg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fkqcvJpceO22E9y_-D2fbuxgJ0xE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f2AATpdqSRmyDBFoRU98J_banana%2bsplit.jpg,3C Banana Split OG
42,3C Farms,https://ddd33q3967xhi.cloudfront.net/rd-Rk6bjiVx61XtGz0w0aEHmqns=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fSrFiK_gnT_9y5Sf2HgG8_7Wyo2M%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fgcyidu4Tua2EMO4PVJwG_blucifer.jpg,3C Blucifer
43,3C Farms,https://ddd33q3967xhi.cloudfront.net/LpLe5wPwxlL66RKhtkpjO63K3t8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fU9VPBZ0lNCCu2qCSQ2PHfWwTqmU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRm6sQmkITJuTmu8vzjkc_coockies%2bn%2bcreme.jpg,3C Cookies and Cream
44,Western Cultured,https://ddd33q3967xhi.cloudfront.net/7qN2JXvpV1CTchtrB91IkTgG1dY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZpfXTQ9I4ji6OsBl1tdJIDcsbfY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f7a9Ja1F4TbinJGa3SjiS_9lb%2bhammer.jpg,9lb Hammer
45,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/4rMzla5tgYumtE1OQV9wpA8VNYk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fNbh-nxK7eLVgfbaaydL7wtzN2Ns%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fuaHPbjYTzO2MRdL4M0gm_ag_flower.jpg,Acapulco Gold
46,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/6nWHRCmreT6C49DHZaiuCT9EBf0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fd2fxRmOM3gptrmSt6afgbUXI0KE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdgAyjkJnSy6CtyHWcXtH_afgoo.jpg,Afgoo
47,Royal Choice Farms,https://ddd33q3967xhi.cloudfront.net/uHQXTP2VyWEfBw9UGQ7LCwNlldY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fluiMvGWsIVEwKrfRB3nq9qsalNo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fBVCsqzXKTBKhUIQ4S1oQ_cherry%2bkush.jpg,All-Star Cherry Kush
48,Royal Tree Gardens,https://ddd33q3967xhi.cloudfront.net/ej9evuQVwNGlrRDP_TdR_z6C-y4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fX_LW0kJI3-S0aGTTr20yPfWHQ4g%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZidP2P6IRj6ozirk788X_black%2bcherry%2bsoda.jpg,Black Cherry Soda
49,Yerba Buena,https://ddd33q3967xhi.cloudfront.net/1DbVSMcmhfnTK4cO2fjPev4rhMQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f16n7fZYBFXyXjYvrtyz9whIPBe8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fAQ1P2EnXS4ZQfL3eKR1g_blueberry.jpg,Blueberry Cookies
50,Double Dutch Farms,https://ddd33q3967xhi.cloudfront.net/4N2fJ4OunegL0yaKnog03pvG3gM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGYbJYwbKqhJRv1zf2gxVTPSNnAs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fW9IKBvEbRoq2uPkbxnlm_BlueDream.png,Blue Dream
